C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;Joule
0.074;0.66;0.42;0.004;0.008;70;2;5;42;255;0.03;4.9;0.005;5;0.03;5;-60;120
0.075;0.64;0.39;0.004;0.008;130;2;5;43;253;0.03;4.88;0.005;5;0.03;5;-80;67
0.075;0.64;0.39;0.004;0.008;130;2;5;43;253;0.03;4.88;0.005;5;0.03;5;-70;85
0.075;0.64;0.39;0.004;0.008;130;2;5;43;253;0.03;4.88;0.005;5;0.03;5;-60;107
0.068;0.64;0.32;0.004;0.009;190;2;5;47;277;0.03;4.83;0.005;5;0.03;5;-80;69
0.068;0.64;0.32;0.004;0.009;190;2;5;47;277;0.03;4.83;0.005;5;0.03;5;-70;87
0.068;0.64;0.32;0.004;0.009;190;2;5;47;277;0.03;4.83;0.005;5;0.03;5;-60;113
0.067;0.59;0.32;0.004;0.009;280;2;5;55;265;0.03;4.78;0.005;5;0.03;5;-80;103
0.067;0.59;0.32;0.004;0.009;280;2;5;55;265;0.03;4.78;0.005;5;0.03;5;-70;124
0.067;0.59;0.32;0.004;0.009;280;2;5;55;265;0.03;4.78;0.005;5;0.03;5;-60;142
0.063;0.64;0.36;0.007;0.007;5;5;5;62;479;0.03;0.03;0.005;5;0.03;5;-80;16
0.063;0.64;0.36;0.007;0.007;5;5;5;62;479;0.03;0.03;0.005;5;0.03;5;-70;42
0.063;0.64;0.36;0.007;0.007;5;5;5;62;479;0.03;0.03;0.005;5;0.03;5;-60;76
0.065;0.66;0.36;0.008;0.009;7;30;5;73;435;0.03;0.03;0.005;5;0.03;5;-80;20
0.065;0.66;0.36;0.008;0.009;7;30;5;73;435;0.03;0.03;0.005;5;0.03;5;-70;34
0.065;0.66;0.36;0.008;0.009;7;30;5;73;435;0.03;0.03;0.005;5;0.03;5;-60;60
0.063;0.65;0.39;0.008;0.009;3;58;5;68;453;0.03;0.03;0.005;5;0.03;5;-80;13
0.063;0.65;0.39;0.008;0.009;3;58;5;68;453;0.03;0.03;0.005;5;0.03;5;-70;29
0.063;0.65;0.39;0.008;0.009;3;58;5;68;453;0.03;0.03;0.005;5;0.03;5;-60;62
0.068;0.68;0.36;0.009;0.008;7;99;5;77;444;0.03;0.03;0.005;5;0.03;5;-80;11
0.068;0.68;0.36;0.009;0.008;7;99;5;77;444;0.03;0.03;0.005;5;0.03;5;-70;37
0.068;0.68;0.36;0.009;0.008;7;99;5;77;444;0.03;0.03;0.005;5;0.03;5;-60;69
0.064;0.66;0.43;0.01;0.01;9;126;5;63;527;0.03;0.03;0.005;5;0.03;5;-80;10
0.064;0.66;0.43;0.01;0.01;9;126;5;63;527;0.03;0.03;0.005;5;0.03;5;-70;30
0.064;0.66;0.43;0.01;0.01;9;126;5;63;527;0.03;0.03;0.005;5;0.03;5;-60;85
0.066;0.69;0.4;0.008;0.008;3;171;5;70;437;0.03;0.03;0.005;5;0.03;5;-80;18
0.066;0.69;0.4;0.008;0.008;3;171;5;70;437;0.03;0.03;0.005;5;0.03;5;-70;50
0.066;0.69;0.4;0.008;0.008;3;171;5;70;437;0.03;0.03;0.005;5;0.03;5;-60;77
0.066;0.67;0.38;0.008;0.01;34;30;5;67;539;0.03;0.03;0.005;5;0.03;5;-80;10
0.066;0.67;0.38;0.008;0.01;34;30;5;67;539;0.03;0.03;0.005;5;0.03;5;-70;14
0.066;0.67;0.38;0.008;0.01;34;30;5;67;539;0.03;0.03;0.005;5;0.03;5;-60;22
0.062;0.68;0.45;0.009;0.01;40;67;5;62;526;0.03;0.03;0.005;5;0.03;5;-80;4
0.062;0.68;0.45;0.009;0.01;40;67;5;62;526;0.03;0.03;0.005;5;0.03;5;-70;10
0.062;0.68;0.45;0.009;0.01;40;67;5;62;526;0.03;0.03;0.005;5;0.03;5;-60;18
0.061;0.67;0.45;0.009;0.01;42;106;5;59;522;0.03;0.03;0.005;5;0.03;5;-80;3
0.061;0.67;0.45;0.009;0.01;42;106;5;59;522;0.03;0.03;0.005;5;0.03;5;-70;10
0.061;0.67;0.45;0.009;0.01;42;106;5;59;522;0.03;0.03;0.005;5;0.03;5;-60;24
0.065;0.66;0.48;0.008;0.01;44;144;5;64;510;0.03;0.03;0.005;5;0.03;5;-80;7
0.065;0.66;0.48;0.008;0.01;44;144;5;64;510;0.03;0.03;0.005;5;0.03;5;-70;28
0.065;0.66;0.48;0.008;0.01;44;144;5;64;510;0.03;0.03;0.005;5;0.03;5;-60;59
0.061;0.67;0.43;0.008;0.008;45;186;5;60;485;0.03;0.03;0.005;5;0.03;5;-80;13
0.061;0.67;0.43;0.008;0.008;45;186;5;60;485;0.03;0.03;0.005;5;0.03;5;-70;24
0.061;0.67;0.43;0.008;0.008;45;186;5;60;485;0.03;0.03;0.005;5;0.03;5;-60;37
0.07;0.65;0.32;0.008;0.008;5;2;5;68;481;0.53;0.03;0.005;5;0.03;5;-80;28
0.07;0.65;0.32;0.008;0.008;5;2;5;68;481;0.53;0.03;0.005;5;0.03;5;-70;62
0.07;0.65;0.32;0.008;0.008;5;2;5;68;481;0.53;0.03;0.005;5;0.03;5;-60;102
0.071;0.65;0.31;0.007;0.006;34;2;5;70;450;0.53;0.03;0.005;5;0.03;5;-80;11
0.071;0.65;0.31;0.007;0.006;34;2;5;70;450;0.53;0.03;0.005;5;0.03;5;-70;15
0.071;0.65;0.31;0.007;0.006;34;2;5;70;450;0.53;0.03;0.005;5;0.03;5;-60;34
0.077;0.66;0.29;0.008;0.008;80;2;5;80;409;0.54;0.03;0.005;5;0.03;5;-80;5
0.077;0.66;0.29;0.008;0.008;80;2;5;80;409;0.54;0.03;0.005;5;0.03;5;-70;6
0.077;0.66;0.29;0.008;0.008;80;2;5;80;409;0.54;0.03;0.005;5;0.03;5;-60;10
0.075;0.6;0.31;0.007;0.008;140;2;5;79;348;0.52;0.03;0.005;5;0.03;5;-80;6
0.075;0.6;0.31;0.007;0.008;140;2;5;79;348;0.52;0.03;0.005;5;0.03;5;-70;14
0.075;0.6;0.31;0.007;0.008;140;2;5;79;348;0.52;0.03;0.005;5;0.03;5;-60;35
0.071;0.63;0.37;0.006;0.009;214;2;5;75;332;0.52;0.03;0.005;5;0.03;5;-80;6
0.071;0.63;0.37;0.006;0.009;214;2;5;75;332;0.52;0.03;0.005;5;0.03;5;-70;18
0.071;0.63;0.37;0.006;0.009;214;2;5;75;332;0.52;0.03;0.005;5;0.03;5;-60;47
0.07;0.65;0.35;0.008;0.01;5;2;5;78;504;1.01;0.03;0.005;5;0.03;5;-80;10
0.07;0.65;0.35;0.008;0.01;5;2;5;78;504;1.01;0.03;0.005;5;0.03;5;-70;21
0.07;0.65;0.35;0.008;0.01;5;2;5;78;504;1.01;0.03;0.005;5;0.03;5;-60;46
0.077;0.66;0.32;0.008;0.01;34;2;5;75;457;1.03;0.03;0.005;5;0.03;5;-80;11
0.077;0.66;0.32;0.008;0.01;34;2;5;75;457;1.03;0.03;0.005;5;0.03;5;-70;15
0.077;0.66;0.32;0.008;0.01;34;2;5;75;457;1.03;0.03;0.005;5;0.03;5;-60;21
0.082;0.67;0.34;0.006;0.009;83;2;5;83;418;1.04;0.03;0.005;5;0.03;5;-80;3
0.082;0.67;0.34;0.006;0.009;83;2;5;83;418;1.04;0.03;0.005;5;0.03;5;-70;5
0.082;0.67;0.34;0.006;0.009;83;2;5;83;418;1.04;0.03;0.005;5;0.03;5;-60;7
0.079;0.64;0.37;0.006;0.01;157;2;5;89;359;1.04;0.03;0.005;5;0.03;5;-80;2
0.079;0.64;0.37;0.006;0.01;157;2;5;89;359;1.04;0.03;0.005;5;0.03;5;-70;3
0.079;0.64;0.37;0.006;0.01;157;2;5;89;359;1.04;0.03;0.005;5;0.03;5;-60;11
0.086;0.62;0.38;0.003;0.01;238;2;5;79;334;1.04;0.03;0.005;5;0.03;5;-80;2
0.086;0.62;0.38;0.003;0.01;238;2;5;79;334;1.04;0.03;0.005;5;0.03;5;-70;12
0.086;0.62;0.38;0.003;0.01;238;2;5;79;334;1.04;0.03;0.005;5;0.03;5;-60;30
0.074;0.58;0.25;0.008;0.01;4;2;5;89;500;1.59;0.03;0.005;5;0.03;5;-80;2
0.074;0.58;0.25;0.008;0.01;4;2;5;89;500;1.59;0.03;0.005;5;0.03;5;-70;3
0.074;0.58;0.25;0.008;0.01;4;2;5;89;500;1.59;0.03;0.005;5;0.03;5;-60;8
0.078;0.62;0.26;0.007;0.005;29;2;5;100;472;1.6;0.03;0.005;5;0.03;5;-80;2
0.078;0.62;0.26;0.007;0.005;29;2;5;100;472;1.6;0.03;0.005;5;0.03;5;-70;3
0.078;0.62;0.26;0.007;0.005;29;2;5;100;472;1.6;0.03;0.005;5;0.03;5;-60;4
0.076;0.62;0.28;0.007;0.009;76;2;5;110;455;1.65;0.03;0.005;5;0.03;5;-80;6
0.076;0.62;0.28;0.007;0.009;76;2;5;110;455;1.65;0.03;0.005;5;0.03;5;-70;7
0.076;0.62;0.28;0.007;0.009;76;2;5;110;455;1.65;0.03;0.005;5;0.03;5;-60;8
0.08;0.63;0.28;0.007;0.005;118;2;5;130;395;1.7;0.03;0.005;5;0.03;5;-80;2
0.08;0.63;0.28;0.007;0.005;118;2;5;130;395;1.7;0.03;0.005;5;0.03;5;-70;3
0.08;0.63;0.28;0.007;0.005;118;2;5;130;395;1.7;0.03;0.005;5;0.03;5;-60;5
0.082;0.63;0.33;0.006;0.007;170;2;5;120;350;1.7;0.03;0.005;5;0.03;5;-80;2
0.082;0.63;0.33;0.006;0.007;170;2;5;120;350;1.7;0.03;0.005;5;0.03;5;-70;5
0.082;0.63;0.33;0.006;0.007;170;2;5;120;350;1.7;0.03;0.005;5;0.03;5;-60;9
0.078;0.64;0.28;0.008;0.007;42;2;5;95;482;2.15;0.03;0.005;5;0.03;5;-80;6
0.078;0.64;0.28;0.008;0.007;42;2;5;95;482;2.15;0.03;0.005;5;0.03;5;-70;10
0.078;0.64;0.28;0.008;0.007;42;2;5;95;482;2.15;0.03;0.005;5;0.03;5;-60;13
0.08;0.68;0.32;0.007;0.008;78;2;5;96;426;2;0.03;0.005;5;0.03;5;-80;2
0.08;0.68;0.32;0.007;0.008;78;2;5;96;426;2;0.03;0.005;5;0.03;5;-70;2
0.08;0.68;0.32;0.007;0.008;78;2;5;96;426;2;0.03;0.005;5;0.03;5;-60;3
0.088;0.67;0.34;0.007;0.008;140;2;5;99;361;2.05;0.03;0.005;5;0.03;5;-80;2
0.088;0.67;0.34;0.007;0.008;140;2;5;99;361;2.05;0.03;0.005;5;0.03;5;-70;3
0.088;0.67;0.34;0.007;0.008;140;2;5;99;361;2.05;0.03;0.005;5;0.03;5;-60;4
0.083;0.66;0.37;0.007;0.007;220;2;5;99;340;1.99;0.03;0.005;5;0.03;5;-80;2
0.083;0.66;0.37;0.007;0.007;220;2;5;99;340;1.99;0.03;0.005;5;0.03;5;-70;4
0.083;0.66;0.37;0.007;0.007;220;2;5;99;340;1.99;0.03;0.005;5;0.03;5;-60;7
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-80;14
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-70;29
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-60;53
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-80;12
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-70;27
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-60;56
0.074;0.67;0.35;0.008;0.007;95;2;5;73;384;0.03;0.03;0.005;5;0.03;5;-80;5
0.074;0.67;0.35;0.008;0.007;95;2;5;73;384;0.03;0.03;0.005;5;0.03;5;-70;11
0.074;0.67;0.35;0.008;0.007;95;2;5;73;384;0.03;0.03;0.005;5;0.03;5;-60;26
0.078;0.68;0.38;0.009;0.007;160;2;5;69;340;0.03;0.03;0.005;5;0.03;5;-80;9
0.078;0.68;0.38;0.009;0.007;160;2;5;69;340;0.03;0.03;0.005;5;0.03;5;-70;12
