C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;Charpy
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-20;154
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-10;165
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;0;175
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;10;185
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;20;194
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;30;203
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;40;209
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-120;2
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-110;2
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-100;2
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-90;2
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-80;3
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-70;4
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-60;14
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-50;34
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-40;58
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-30;90
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-20;121
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-10;149
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;0;162
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;10;168
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;20;173
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;30;178
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;40;182
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-120;3
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-110;4
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-100;5
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-90;6
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-80;6
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-70;9
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-60;18
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-50;37
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-40;61
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-30;91
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-20;124
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-10;142
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;0;155
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;10;169
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;20;181
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;30;190
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;40;198
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-120;3
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-110;3
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-100;3
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-90;4
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-80;6
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-70;10
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-60;32
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-50;42
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-40;69
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-30;100
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-20;133
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-10;154
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;0;167
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;10;178
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;20;185
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;30;190
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;40;195
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-120;2
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-110;2
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-100;2
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-90;3
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-80;6
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-70;10
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-60;20
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-50;33
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-40;51
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-30;74
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-20;103
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-10;127
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;0;144
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;10;157
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;20;170
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;30;181
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;40;190
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-120;6
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-110;7
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-100;8
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-90;9
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-80;10
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-70;10
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-60;13
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-50;18
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-40;26
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-30;36
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-20;52
