C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);-120;-110;-100;-90;-80;-70;-60;-50;-40;-30;-20;-10;0;10;20;30;40
0.077;1.46;0.27;0.008;0.007;28;3;5;81;459;0.03;0.03;0.005;5;0.03;5;3;5;10;24;56;91;122;146;162;174;184;191;196;200;202;202;202
0.074;1.4;0.25;0.008;0.007;1;1;6;79;475;0.03;0.03;0.005;5;0.03;5;2;2;2;2;3;6;9;18;30;42;64;121;158;166;174;180;186
0.077;1.46;0.27;0.008;0.007;28;3;5;81;459;0.03;0.03;0.005;5;0.03;5;3;5;10;24;56;91;122;146;162;174;184;191;196;200;202;202;202
0.069;1.47;0.45;0.005;0.006;410;2;1;77;282;0.03;0.03;0.005;5;0.03;5;3;4;5;8;22;50;107;157;176;186;196;204;212;218;219;220;221
0.07;1.57;0.45;0.006;0.01;390;39;13;83;308;0.03;0.03;0.005;5;0.03;5;8;13;26;65;106;138;166;188;201;206;207;208;208;208;208;208;208
0.072;1.56;0.49;0.007;0.01;420;48;160;67;438;0.03;0.03;0.005;5;0.03;5;10;14;29;65;112;146;166;178;190;202;214;226;237;240;240;240;240
0.064;1.49;0.4;0.007;0.005;5;195;5;85;503;0.03;0.03;0.005;5;0.03;5;3;6;10;16;24;34;51;70;88;107;125;141;155;169;175;179;181
0.073;1.52;0.4;0.006;0.011;390;158;5;84;290;0.03;0.03;0.005;5;0.03;5;3;4;6;10;28;51;81;110;136;154;172;188;201;208;212;214;216
0.074;1.58;0.28;0.008;0.008;5;5;5;145;404;0.03;0.03;0.005;5;0.03;5;1;1;2;2;2;3;4;10;15;22;32;50;81;116;140;163;169
0.066;1.48;0.47;0.007;0.011;410;2;5;164;285;0.03;0.03;0.005;5;0.03;5;2;2;3;6;14;30;46;72;118;153;166;174;184;194;202;205;210
0.069;1.48;0.34;0.007;0.01;370;40;5;149;281;0.03;0.03;0.005;5;0.03;5;2;6;9;12;19;33;59;93;125;149;159;164;166;168;168;168;168
0.07;1.45;0.43;0.006;0.01;470;37;170;130;439;0.03;0.03;0.005;5;0.03;5;2;2;2;5;7;18;35;70;112;149;173;187;195;198;200;200;200
0.07;1.55;0.39;0.007;0.007;7;160;6;144;396;0.03;0.03;0.005;5;0.03;5;3;5;6;8;10;13;20;30;46;66;93;118;139;147;150;152;152
0.066;1.39;0.35;0.006;0.009;360;158;5;138;290;0.03;0.03;0.005;5;0.03;5;2;3;8;27;53;87;120;140;154;165;172;179;183;186;186;186;186
0.068;1.46;0.47;0.007;0.006;450;2;5;249;297;0.03;0.03;0.005;5;0.03;5;2;2;3;6;8;14;26;38;54;100;130;146;158;168;179;187;197
0.069;1.51;0.36;0.007;0.008;410;44;5;232;292;0.03;0.03;0.005;5;0.03;5;13;14;15;17;18;19;24;36;54;82;110;133;144;144;144;144;144
0.068;1.45;0.5;0.006;0.011;470;45;180;230;440;0.03;0.03;0.005;5;0.03;5;2;2;2;2;2;2;3;7;11;18;27;38;59;86;121;142;154
0.064;1.43;0.36;0.008;0.008;5;160;5;233;426;0.03;0.03;0.005;5;0.03;5;4;6;7;9;10;14;18;23;32;46;72;106;132;141;143;144;144
0.066;1.4;0.36;0.007;0.012;390;167;5;217;297;0.03;0.03;0.005;5;0.03;5;2;2;4;12;30;49;74;104;128;143;152;158;160;162;162;162;162
0.069;1.42;0.6;0.006;0.012;430;35;560;235;470;0.03;0.03;0.005;5;0.03;5;2;2;2;2;6;29;59;88;113;134;149;158;164;168;170;170;170
0.066;1.37;0.2;0.007;0.006;50;2;5;55;436;0.03;0.03;0.005;5;0.03;5;2;2;2;3;20;64;131;168;192;206;217;222;225;226;227;227;227
0.066;1.42;0.37;0.007;0.008;75;2;5;55;415;0.03;0.03;0.005;5;0.03;5;2;2;3;8;33;64;111;152;178;197;210;218;221;223;224;224;224
0.07;1.57;0.45;0.006;0.01;390;39;13;83;308;0.03;0.03;0.005;5;0.03;5;8;13;26;65;106;138;166;188;201;206;207;208;208;208;208;208;208
0.07;1.53;0.44;0.007;0.01;450;48;68;82;370;0.03;0.03;0.005;5;0.03;5;8;13;24;62;114;150;166;178;190;202;214;226;234;238;240;240;240
0.07;1.56;0.49;0.007;0.01;420;48;160;67;438;0.03;0.03;0.005;5;0.03;5;10;14;29;65;112;146;166;178;190;202;214;226;237;240;240;240;240
0.07;1.51;0.57;0.007;0.012;460;51;310;60;482;0.03;0.03;0.005;5;0.03;5;14;16;19;26;34;46;70;96;122;148;170;181;184;184;184;184;184
0.07;1.53;0.6;0.006;0.01;440;54;380;53;473;0.03;0.03;0.005;5;0.03;5;2;3;6;9;14;26;42;62;91;122;154;182;186;188;189;189;189
0.07;1.48;0.34;0.007;0.01;370;40;5;149;281;0.03;0.03;0.005;5;0.03;5;5;6;9;12;19;33;59;93;125;149;159;164;166;168;168;168;168
0.07;1.49;0.34;0.007;0.01;410;36;61;150;382;0.03;0.03;0.005;5;0.03;5;2;2;2;3;6;14;49;84;118;142;155;167;180;190;200;205;206
0.07;1.45;0.43;0.006;0.01;470;37;170;130;439;0.03;0.03;0.005;5;0.03;5;2;2;2;5;7;18;35;70;112;149;173;187;195;198;200;200;200
0.07;1.43;0.43;0.005;0.01;490;41;330;120;489;0.03;0.03;0.005;5;0.03;5;2;2;3;10;24;66;99;134;156;171;184;194;204;206;208;208;208
0.07;1.44;0.55;0.005;0.01;460;48;460;120;479;0.03;0.03;0.005;5;0.03;5;2;2;6;14;28;53;85;117;142;162;178;187;192;192;192;192;192
0.07;1.51;0.36;0.007;0.008;410;44;5;232;292;0.03;0.03;0.005;5;0.03;5;13;14;15;17;18;19;24;36;54;82;110;133;144;144;144;144;144
0.07;1.38;0.35;0.007;0.012;500;38;62;245;412;0.03;0.03;0.005;5;0.03;5;2;2;2;2;2;2;3;5;12;34;56;82;110;131;146;154;158
0.07;1.45;0.5;0.006;0.011;470;45;180;230;440;0.03;0.03;0.005;5;0.03;5;2;2;2;2;2;2;3;7;11;18;27;38;59;86;121;142;154
0.07;1.38;0.52;0.006;0.011;410;35;380;225;478;0.03;0.03;0.005;5;0.03;5;2;2;2;3;5;7;14;23;36;51;80;112;143;150;155;158;162
0.07;1.42;0.6;0.006;0.012;430;35;560;235;470;0.03;0.03;0.005;5;0.03;5;2;2;2;2;6;29;59;88;113;134;149;158;164;168;170;170;170
0.073;1.51;0.3;0.007;0.007;5;1;5;94;449;0.03;0.03;0.005;5;0.03;5;2;2;2;2;3;6;9;18;30;42;64;121;158;166;174;180;186
0.067;1.53;0.27;0.008;0.007;2;16;5;86;456;0.03;0.03;0.005;5;0.03;5;1;2;2;3;5;6;13;26;38;54;74;103;126;142;153;162;166
0.071;1.58;0.29;0.007;0.006;2;28;5;84;452;0.03;0.03;0.005;5;0.03;5;2;3;4;5;6;8;19;36;51;70;88;108;126;144;158;171;178
0.066;1.48;0.33;0.008;0.007;5;64;5;74;511;0.03;0.03;0.005;5;0.03;5;4;5;6;6;10;18;34;52;70;87;102;117;130;142;155;166;176
0.066;1.48;0.37;0.008;0.008;5;109;5;63;493;0.03;0.03;0.005;5;0.03;5;2;2;3;8;21;40;58;77;96;112;130;148;165;178;187;196;202
0.068;1.53;0.39;0.008;0.007;5;146;5;83;489;0.03;0.03;0.005;5;0.03;5;2;6;16;32;51;70;86;100;118;137;149;154;156;156;156;156;156
0.064;1.49;0.4;0.007;0.005;5;195;5;85;503;0.03;0.03;0.005;5;0.03;5;3;6;10;16;24;34;51;70;88;107;125;141;155;169;175;179;181
0.074;1.46;0.28;0.008;0.008;35;3;5;79;443;0.03;0.03;0.005;5;0.03;5;3;5;10;24;56;91;122;146;162;174;184;191;196;200;202;202;202
0.068;1.51;0.34;0.007;0.008;33;33;5;70;470;0.03;0.03;0.005;5;0.03;5;7;10;18;36;57;78;99;119;137;154;165;186;192;194;194;194;194
0.065;1.48;0.35;0.007;0.007;34;70;5;74;466;0.03;0.03;0.005;5;0.03;5;5;8;14;22;33;50;75;116;142;159;170;176;179;181;181;181;181
0.064;1.43;0.36;0.007;0.007;36;112;5;71;447;0.03;0.03;0.005;5;0.03;5;4;8;16;35;58;86;114;135;153;164;174;182;187;187;187;187;187
0.067;1.45;0.31;0.008;0.008;38;140;5;75;449;0.03;0.03;0.005;5;0.03;5;3;8;14;26;42;69;101;131;155;167;173;174;177;178;178;178;178
0.066;1.44;0.39;0.007;0.009;45;192;5;71;435;0.03;0.03;0.005;5;0.03;5;3;5;7;10;19;53;76;100;121;137;150;159;165;169;171;171;171
0.074;1.45;0.3;0.007;0.009;120;2;5;84;337;0.03;0.03;0.005;5;0.03;5;7;10;13;15;18;20;23;60;115;150;161;171;182;193;203;210;214
0.071;1.55;0.35;0.007;0.01;130;38;5;68;370;0.03;0.03;0.005;5;0.03;5;2;3;4;8;22;46;86;132;159;179;198;211;219;221;221;221;221
0.071;1.53;0.34;0.007;0.01;110;71;5;69;380;0.03;0.03;0.005;5;0.03;5;2;3;5;11;27;53;88;122;147;165;179;188;194;194;194;194;194
0.068;1.45;0.34;0.008;0.009;130;112;5;84;339;0.03;0.03;0.005;5;0.03;5;4;4;4;15;50;84;115;142;168;182;190;192;192;192;192;192;192
0.066;1.43;0.33;0.008;0.009;120;148;5;75;351;0.03;0.03;0.005;5;0.03;5;3;3;3;12;35;62;100;130;150;162;172;179;182;182;182;182;182
0.067;1.41;0.36;0.009;0.009;120;195;5;80;367;0.03;0.03;0.005;5;0.03;5;2;3;6;6;8;10;15;41;100;134;150;160;167;173;179;186;189
0.072;1.5;0.38;0.006;0.01;260;2;5;77;291;0.03;0.03;0.005;5;0.03;5;2;2;3;4;10;31;83;125;163;181;191;200;209;214;220;225;226
