Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Temp;Charpy
99;2;8;89;375;-110;6
99;2;8;89;375;-100;6
99;2;8;89;375;-90;10
99;2;8;89;375;-80;29
99;2;8;89;375;-70;34
99;2;8;89;375;-60;65
99;2;8;89;375;-50;109
99;2;8;89;375;-40;149
99;2;8;89;375;-30;165
99;2;8;89;375;-20;178
99;2;8;89;375;-10;187
99;2;8;89;375;0;194
99;2;8;89;375;10;196
99;2;8;89;375;20;197
99;2;8;89;375;30;198
99;2;8;89;375;40;198
88;2;47;70;407;-120;2
88;2;47;70;407;-110;2
88;2;47;70;407;-100;2
88;2;47;70;407;-90;2
88;2;47;70;407;-80;4
88;2;47;70;407;-70;10
88;2;47;70;407;-60;24
88;2;47;70;407;-50;39
88;2;47;70;407;-40;58
88;2;47;70;407;-30;104
88;2;47;70;407;-20;178
88;2;47;70;407;-10;203
88;2;47;70;407;0;211
88;2;47;70;407;10;211
88;2;47;70;407;20;211
88;2;47;70;407;30;211
88;2;47;70;407;40;211
92;2;160;52;381;-120;10
92;2;160;52;381;-110;10
92;2;160;52;381;-100;11
92;2;160;52;381;-90;13
92;2;160;52;381;-80;16
92;2;160;52;381;-70;26
92;2;160;52;381;-60;80
92;2;160;52;381;-50;131
92;2;160;52;381;-40;170
92;2;160;52;381;-30;184
92;2;160;52;381;-20;196
92;2;160;52;381;-10;209
92;2;160;52;381;0;218
92;2;160;52;381;10;224
92;2;160;52;381;20;229
92;2;160;52;381;30;229
92;2;160;52;381;40;229
63;2;280;44;374;-120;10
63;2;280;44;374;-110;10
63;2;280;44;374;-100;11
63;2;280;44;374;-90;12
63;2;280;44;374;-80;14
63;2;280;44;374;-70;19
63;2;280;44;374;-60;100
63;2;280;44;374;-50;144
63;2;280;44;374;-40;174
63;2;280;44;374;-30;186
63;2;280;44;374;-20;197
63;2;280;44;374;-10;206
63;2;280;44;374;0;213
63;2;280;44;374;10;219
63;2;280;44;374;20;224
63;2;280;44;374;30;227
63;2;280;44;374;40;228
260;2;320;49;418;-120;11
260;2;320;49;418;-110;12
260;2;320;49;418;-100;14
260;2;320;49;418;-90;16
260;2;320;49;418;-80;18
260;2;320;49;418;-70;22
260;2;320;49;418;-60;34
260;2;320;49;418;-50;83
260;2;320;49;418;-40;133
260;2;320;49;418;-30;162
260;2;320;49;418;-20;177
260;2;320;49;418;-10;187
260;2;320;49;418;0;194
260;2;320;49;418;10;198
260;2;320;49;418;20;198
260;2;320;49;418;30;199
260;2;320;49;418;40;200
460;2;67;94;373;-120;14
460;2;67;94;373;-110;16
460;2;67;94;373;-100;18
460;2;67;94;373;-90;19
460;2;67;94;373;-80;22
460;2;67;94;373;-70;26
460;2;67;94;373;-60;50
460;2;67;94;373;-50;88
460;2;67;94;373;-40;144
460;2;67;94;373;-30;175
460;2;67;94;373;-20;197
460;2;67;94;373;-10;211
460;2;67;94;373;0;218
460;2;67;94;373;10;221
460;2;67;94;373;20;221
460;2;67;94;373;30;221
460;2;67;94;373;40;221
420;2;150;65;446;-120;7
420;2;150;65;446;-110;7
420;2;150;65;446;-100;7
420;2;150;65;446;-90;11
420;2;150;65;446;-80;19
