C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;-70;Ref;;;;;;;;;;;;;;;;;;;;
0.073;1.52;0.40;0.006;0.011;390;158;5;84;290;0.03;0.03;0.005;5;0.03;5;-70;51;CB;;;;;;;;;;;;;;;;;;;;
0.074;1.50;0.47;0.006;0.010;580;1;5;75;292;0.03;0.03;0.005;5;0.03;5;-70;24;CB;;;;;;;;;;;;;;;;;;;;
0.079;1.54;0.48;0.006;0.010;610;14;5;81;276;0.03;0.03;0.005;5;0.03;5;-70;110;CB;;;;;;;;;;;;;;;;;;;;
0.073;1.54;0.48;0.006;0.010;520;32;5;84;294;0.03;0.03;0.005;5;0.03;5;-70;114;CB;;;;;;;;;;;;;;;;;;;;
0.075;1.52;0.45;0.005;0.009;610;59;5;82;280;0.03;0.03;0.005;5;0.03;5;-70;84;CB;;;;;;;;;;;;;;;;;;;;
0.070;1.48;0.42;0.006;0.009;610;95;5;63;298;0.03;0.03;0.005;5;0.03;5;-70;62;CB;;;;;;;;;;;;;;;;;;;;
0.067;1.49;0.40;0.005;0.009;640;122;5;78;305;0.03;0.03;0.005;5;0.03;5;-70;14;CB;;;;;;;;;;;;;;;;;;;;
0.074;1.48;0.39;0.005;0.009;660;155;5;71;320;0.03;0.03;0.005;5;0.03;5;-70;16;CB;;;;;;;;;;;;;;;;;;;;
0.045;0.65;0.30;0.006;0.008;55;2;5;80;490;0.03;0.03;0.005;120;0.03;20;-70;5;CMn;;;;;;;;;;;;;;;;;;;;
0.044;0.98;0.32;0.006;0.008;55;2;5;80;460;0.03;0.03;0.005;120;0.03;20;-70;11;CMn;;;;;;;;;;;;;;;;;;;;
0.044;1.32;0.32;0.006;0.007;55;2;5;80;410;0.03;0.03;0.005;120;0.03;20;-70;31;CMn;;;;;;;;;;;;;;;;;;;;
0.045;1.72;0.30;0.006;0.008;55;2;5;80;390;0.03;0.03;0.005;120;0.03;20;-70;46;CMn;;;;;;;;;;;;;;;;;;;;
0.059;0.60;0.33;0.007;0.008;55;2;5;80;490;0.03;0.03;0.005;120;0.03;20;-70;6;CMn;;;;;;;;;;;;;;;;;;;;
0.063;1.00;0.35;0.006;0.008;55;2;5;80;460;0.03;0.03;0.005;120;0.03;20;-70;13;CMn;;;;;;;;;;;;;;;;;;;;
0.066;1.35;0.37;0.005;0.007;55;2;5;80;410;0.03;0.03;0.005;120;0.03;20;-70;38;CMn;;;;;;;;;;;;;;;;;;;;
0.070;1.77;0.33;0.006;0.008;55;2;5;80;390;0.03;0.03;0.005;120;0.03;20;-70;58;CMn;;;;;;;;;;;;;;;;;;;;
0.099;0.65;0.35;0.008;0.009;55;2;5;80;490;0.03;0.03;0.005;120;0.03;20;-70;9;CMn;;;;;;;;;;;;;;;;;;;;
0.098;1.05;0.32;0.007;0.009;55;2;5;80;460;0.03;0.03;0.005;120;0.03;20;-70;18;CMn;;;;;;;;;;;;;;;;;;;;
0.096;1.29;0.30;0.007;0.009;55;2;5;80;410;0.03;0.03;0.005;120;0.03;20;-70;53;CMn;;;;;;;;;;;;;;;;;;;;
0.093;1.65;0.33;0.007;0.007;55;2;5;80;390;0.03;0.03;0.005;120;0.03;20;-70;58;CMn;;;;;;;;;;;;;;;;;;;;
0.147;0.63;0.40;0.008;0.007;55;2;5;80;490;0.03;0.03;0.005;120;0.03;20;-70;14;CMn;;;;;;;;;;;;;;;;;;;;
0.152;1.00;0.41;0.007;0.007;55;2;5;80;460;0.03;0.03;0.005;120;0.03;20;-70;29;CMn;;;;;;;;;;;;;;;;;;;;
0.148;1.40;0.38;0.007;0.007;55;2;5;80;410;0.03;0.03;0.005;120;0.03;20;-70;54;CMn;;;;;;;;;;;;;;;;;;;;
0.141;1.76;0.36;0.006;0.007;55;2;5;80;390;0.03;0.03;0.005;120;0.03;20;-70;50;CMn;;;;;;;;;;;;;;;;;;;;
0.078;1.43;0.26;0.006;0.006;5;2;5;86;481;0.03;0.03;0.005;5;0.03;5;-70;4;CoPlus;;;;;;;;;;;;;;;;;;;;
0.073;1.39;0.28;0.007;0.007;5;2;5;76;454;0.03;0.95;0.005;5;0.03;5;-70;7;CoPlus;;;;;;;;;;;;;;;;;;;;
0.071;1.48;0.26;0.007;0.012;5;2;5;87;460;0.03;2.28;0.005;5;0.03;5;-70;20;CoPlus;;;;;;;;;;;;;;;;;;;;
0.073;1.43;0.24;0.008;0.006;5;2;5;77;460;0.03;3.12;0.005;5;0.03;5;-70;22;CoPlus;;;;;;;;;;;;;;;;;;;;
0.076;1.53;0.28;0.008;0.006;5;2;5;84;444;0.03;0.03;0.250;5;0.03;5;-70;18;CoPlus;;;;;;;;;;;;;;;;;;;;
0.076;1.45;0.25;0.008;0.006;5;2;5;78;457;0.03;0.03;0.500;5;0.03;5;-70;13;CoPlus;;;;;;;;;;;;;;;;;;;;
0.076;1.41;0.24;0.008;0.006;5;2;5;85;447;0.03;0.03;1.110;5;0.03;5;-70;22;CoPlus;;;;;;;;;;;;;;;;;;;;
0.080;1.48;0.28;0.007;0.006;5;2;5;94;436;1.07;0.03;0.005;5;0.03;5;-70;33;CoPlus;;;;;;;;;;;;;;;;;;;;
0.075;1.48;0.28;0.007;0.005;5;2;5;86;466;1.55;0.03;0.005;5;0.03;5;-70;26;CoPlus;;;;;;;;;;;;;;;;;;;;
0.076;1.44;0.28;0.007;0.007;5;2;5;84;476;1.96;0.03;0.005;5;0.03;5;-70;18;CoPlus;;;;;;;;;;;;;;;;;;;;
0.080;1.47;0.24;0.007;0.007;5;2;5;96;455;0.03;0.03;0.005;5;0.55;5;-70;15;CoPlus;;;;;;;;;;;;;;;;;;;;
0.075;1.41;0.24;0.006;0.008;5;2;5;89;484;0.03;0.03;0.005;5;1.06;5;-70;15;CoPlus;;;;;;;;;;;;;;;;;;;;
0.074;1.36;0.22;0.008;0.010;5;2;5;110;484;0.03;0.03;0.005;5;1.63;5;-70;11;CoPlus;;;;;;;;;;;;;;;;;;;;
0.077;1.46;0.27;0.008;0.007;28;3;5;81;459;0.03;0.03;0.005;5;0.03;5;-70;91;Cplus;;;;;;;;;;;;;;;;;;;;
0.076;1.48;0.25;0.008;0.006;33;2;5;81;417;0.03;0.95;0.005;5;0.03;5;-70;70;W;;;;;;;;;;;;;;;;;;;;
0.068;1.46;0.27;0.008;0.007;34;2;5;78;436;0.03;2.24;0.005;5;0.03;5;-70;79;Cplus;;;;;;;;;;;;;;;;;;;;
0.075;1.46;0.26;0.008;0.006;32;2;5;72;418;0.03;3.15;0.005;5;0.03;5;-70;55;Cplus;;;;;;;;;;;;;;;;;;;;
0.076;1.49;0.26;0.008;0.008;34;2;5;89;412;0.03;0.03;0.250;5;0.03;5;-70;95;Cplus;;;;;;;;;;;;;;;;;;;;
0.075;1.46;0.26;0.008;0.007;31;2;5;86;429;0.03;0.03;0.500;5;0.03;5;-70;64;Cplus;;;;;;;;;;;;;;;;;;;;
0.075;1.44;0.25;0.008;0.008;31;2;5;83;432;0.03;0.03;1.070;5;0.03;5;-70;50;Cplus;;;;;;;;;;;;;;;;;;;;
0.079;1.56;0.30;0.007;0.011;27;2;5;98;431;1.03;0.03;0.005;5;0.03;5;-70;65;Cplus;;;;;;;;;;;;;;;;;;;;
0.073;1.53;0.29;0.007;0.010;27;2;5;79;438;1.53;0.03;0.005;5;0.03;5;-70;42;Cplus;;;;;;;;;;;;;;;;;;;;
0.078;1.48;0.29;0.007;0.010;28;2;5;82;438;1.96;0.03;0.005;5;0.03;5;-70;28;Cplus;;;;;;;;;;;;;;;;;;;;
0.076;1.48;0.27;0.007;0.008;22;2;5;81;454;0.03;0.03;0.005;5;0.53;5;-70;64;Cplus;;;;;;;;;;;;;;;;;;;;
0.077;1.43;0.25;0.007;0.008;19;2;5;92;456;0.03;0.03;0.005;5;1.08;5;-70;52;Cplus;;;;;;;;;;;;;;;;;;;;
0.069;1.37;0.25;0.007;0.009;23;2;5;75;475;0.03;0.03;0.005;5;1.60;5;-70;25;Cplus;;;;;;;;;;;;;;;;;;;;
0.074;1.51;0.36;0.008;0.011;40;2;5;80;410;0.03;0.03;0.005;120;0.02;20;-70;81;Cu;;;;;;;;;;;;;;;;;;;;
0.075;1.48;0.36;0.007;0.006;40;2;5;80;410;0.03;0.03;0.005;120;0.11;20;-70;88;Cu;;;;;;;;;;;;;;;;;;;;
0.074;1.42;0.32;0.008;0.007;40;2;5;80;410;0.03;0.03;0.005;120;0.19;20;-70;96;Cu;;;;;;;;;;;;;;;;;;;;
0.076;1.48;0.33;0.007;0.006;40;2;5;80;410;0.03;0.03;0.005;120;0.35;20;-70;67;Cu;;;;;;;;;;;;;;;;;;;;
0.068;1.49;0.32;0.006;0.006;40;2;5;80;410;0.03;0.03;0.005;120;0.66;20;-70;76;Cu;;;;;;;;;;;;;;;;;;;;
0.076;1.49;0.36;0.006;0.006;40;2;5;80;410;0.03;0.03;0.005;120;1.40;20;-70;46;Cu;;;;;;;;;;;;;;;;;;;;
0.074;1.40;0.25;0.008;0.007;1;1;6;79;475;0.03;0.03;0.005;5;0.03;5;-70;6;GKSS;;;;;;;;;;;;;;;;;;;;
0.077;1.46;0.27;0.008;0.007;28;3;5;81;459;0.03;0.03;0.005;5;0.03;5;-70;91;O;;;;;;;;;;;;;;;;;;;;
0.069;1.47;0.45;0.005;0.006;410;2;1;77;282;0.03;0.03;0.005;5;0.03;5;-70;50;W;;;;;;;;;;;;;;;;;;;;
0.070;1.57;0.45;0.006;0.010;390;39;13;83;308;0.03;0.03;0.005;5;0.03;5;-70;138;X;;;;;;;;;;;;;;;;;;;;
0.072;1.56;0.49;0.007;0.010;420;48;160;67;438;0.03;0.03;0.005;5;0.03;5;-70;146;Y;;;;;;;;;;;;;;;;;;;;
0.064;1.49;0.40;0.007;0.005;5;195;5;85;503;0.03;0.03;0.005;5;0.03;5;-70;34;Z;;;;;;;;;;;;;;;;;;;;
0.073;1.52;0.40;0.006;0.011;390;158;5;84;290;0.03;0.03;0.005;5;0.03;5;-70;51;T;;;;;;;;;;;;;;;;;;;;
0.078;1.44;0.60;0.006;0.007;540;56;580;41;440;0.03;0.03;0.005;5;0.03;5;-70;5;U;;;;;;;;;;;;;;;;;;;;
0.074;1.58;0.28;0.008;0.008;5;5;5;145;404;0.03;0.03;0.005;5;0.03;5;-70;3;V;;;;;;;;;;;;;;;;;;;;
0.068;1.40;0.28;0.010;0.008;31;5;5;148;409;0.03;0.03;0.005;5;0.03;5;-70;10;O1;;;;;;;;;;;;;;;;;;;;
0.066;1.48;0.47;0.007;0.011;410;2;5;164;285;0.03;0.03;0.005;5;0.03;5;-70;30;W1;;;;;;;;;;;;;;;;;;;;
0.069;1.48;0.34;0.007;0.010;370;40;5;149;281;0.03;0.03;0.005;5;0.03;5;-70;33;X1;;;;;;;;;;;;;;;;;;;;
0.070;1.45;0.43;0.006;0.010;470;37;170;130;439;0.03;0.03;0.005;5;0.03;5;-70;18;Y1;;;;;;;;;;;;;;;;;;;;
0.070;1.55;0.39;0.007;0.007;7;160;6;144;396;0.03;0.03;0.005;5;0.03;5;-70;13;Z1;;;;;;;;;;;;;;;;;;;;
0.066;1.39;0.35;0.006;0.009;360;158;5;138;290;0.03;0.03;0.005;5;0.03;5;-70;87;T1;;;;;;;;;;;;;;;;;;;;
0.067;1.44;0.63;0.005;0.010;480;44;560;120;473;0.03;0.03;0.005;5;0.03;5;-70;86;U1;;;;;;;;;;;;;;;;;;;;
0.073;1.66;0.27;0.009;0.008;5;5;5;235;399;0.03;0.03;0.005;5;0.03;5;-70;3;V1;;;;;;;;;;;;;;;;;;;;
0.069;1.45;0.26;0.010;0.009;29;5;2;226;391;0.03;0.03;0.005;5;0.03;5;-70;6;O2;;;;;;;;;;;;;;;;;;;;
0.068;1.46;0.47;0.007;0.006;450;2;5;249;297;0.03;0.03;0.005;5;0.03;5;-70;14;W2;;;;;;;;;;;;;;;;;;;;
0.069;1.51;0.36;0.007;0.008;410;44;5;232;292;0.03;0.03;0.005;5;0.03;5;-70;19;X2;;;;;;;;;;;;;;;;;;;;
0.068;1.45;0.50;0.006;0.011;470;45;180;230;440;0.03;0.03;0.005;5;0.03;5;-70;2;Y2;;;;;;;;;;;;;;;;;;;;
0.064;1.43;0.36;0.008;0.008;5;160;5;233;426;0.03;0.03;0.005;5;0.03;5;-70;14;Z2;;;;;;;;;;;;;;;;;;;;
0.066;1.40;0.36;0.007;0.012;390;167;5;217;297;0.03;0.03;0.005;5;0.03;5;-70;49;T2;;;;;;;;;;;;;;;;;;;;
0.069;1.42;0.60;0.006;0.012;430;35;560;235;470;0.03;0.03;0.005;5;0.03;5;-70;29;U2;;;;;;;;;;;;;;;;;;;;
0.035;0.66;0.30;0.006;0.013;55;2;5;70;490;0.03;0.03;0.005;120;0.03;20;-70;8;MnCr;;;;;;;;;;;;;;;;;;;;
0.038;1.00;0.30;0.005;0.014;55;2;5;100;460;0.03;0.03;0.005;120;0.03;20;-70;11;MnCr;;;;;;;;;;;;;;;;;;;;
0.049;1.42;0.34;0.005;0.013;55;2;5;90;410;0.03;0.03;0.005;120;0.03;20;-70;32;MnCr;;;;;;;;;;;;;;;;;;;;
0.051;1.82;0.34;0.006;0.017;55;2;5;90;390;0.03;0.03;0.005;120;0.03;20;-70;36;MnCr;;;;;;;;;;;;;;;;;;;;
0.038;0.66;0.33;0.007;0.015;55;2;5;70;490;0.24;0.03;0.005;120;0.03;20;-70;5;MnCr;;;;;;;;;;;;;;;;;;;;
0.041;1.01;0.33;0.007;0.013;55;2;5;100;460;0.26;0.03;0.005;120;0.03;20;-70;14;MnCr;;;;;;;;;;;;;;;;;;;;
0.042;1.46;0.34;0.006;0.015;55;2;5;90;410;0.27;0.03;0.005;120;0.03;20;-70;18;MnCr;;;;;;;;;;;;;;;;;;;;
0.047;1.85;0.35;0.006;0.015;55;2;5;90;390;0.27;0.03;0.005;120;0.03;20;-70;28;MnCr;;;;;;;;;;;;;;;;;;;;
0.040;0.61;0.33;0.005;0.010;55;2;5;70;490;0.51;0.03;0.005;120;0.03;20;-70;13;MnCr;;;;;;;;;;;;;;;;;;;;
0.042;0.96;0.32;0.008;0.010;55;2;5;100;460;0.54;0.03;0.005;120;0.03;20;-70;31;MnCr;;;;;;;;;;;;;;;;;;;;
0.046;1.40;0.35;0.006;0.010;55;2;5;90;410;0.54;0.03;0.005;120;0.03;20;-70;45;MnCr;;;;;;;;;;;;;;;;;;;;
0.050;1.82;0.32;0.005;0.016;55;2;5;90;390;0.52;0.03;0.005;120;0.03;20;-70;38;MnCr;;;;;;;;;;;;;;;;;;;;
0.041;0.59;0.28;0.008;0.012;55;2;5;70;490;1.00;0.03;0.005;120;0.03;20;-70;10;MnCr;;;;;;;;;;;;;;;;;;;;
0.045;0.97;0.32;0.007;0.013;55;2;5;100;460;1.05;0.03;0.005;120;0.03;20;-70;25;MnCr;;;;;;;;;;;;;;;;;;;;
0.048;1.36;0.33;0.008;0.012;55;2;5;90;410;1.07;0.03;0.005;120;0.03;20;-70;30;MnCr;;;;;;;;;;;;;;;;;;;;
0.050;1.84;0.35;0.007;0.011;55;2;5;90;390;1.07;0.03;0.005;120;0.03;20;-70;33;MnCr;;;;;;;;;;;;;;;;;;;;
0.042;0.58;0.27;0.009;0.011;55;2;5;70;490;2.32;0.03;0.005;120;0.03;20;-70;2;MnCr;;;;;;;;;;;;;;;;;;;;
0.048;0.92;0.29;0.008;0.012;55;2;5;100;460;2.35;0.03;0.005;120;0.03;20;-70;13;MnCr;;;;;;;;;;;;;;;;;;;;
0.050;1.29;0.31;0.007;0.009;55;2;5;90;410;2.26;0.03;0.005;120;0.03;20;-70;20;MnCr;;;;;;;;;;;;;;;;;;;;
0.053;1.74;0.34;0.007;0.014;55;2;5;90;390;2.30;0.03;0.005;120;0.03;20;-70;14;MnCr;;;;;;;;;;;;;;;;;;;;
0.035;0.66;0.30;0.006;0.013;55;2;5;80;490;0.03;0.03;0.005;120;0.03;20;-70;8;MnMo;;;;;;;;;;;;;;;;;;;;
0.038;1.00;0.30;0.005;0.014;55;2;5;80;460;0.03;0.03;0.005;120;0.03;20;-70;11;MnMo;;;;;;;;;;;;;;;;;;;;
0.049;1.42;0.34;0.005;0.013;55;2;5;80;410;0.03;0.03;0.005;120;0.03;20;-70;32;MnMo;;;;;;;;;;;;;;;;;;;;
0.051;1.82;0.34;0.006;0.017;55;2;5;80;390;0.03;0.03;0.005;120;0.03;20;-70;36;MnMo;;;;;;;;;;;;;;;;;;;;
0.035;0.64;0.33;0.008;0.011;55;2;5;80;490;0.03;0.03;0.220;120;0.03;20;-70;9;MnMo;;;;;;;;;;;;;;;;;;;;
0.040;1.02;0.32;0.008;0.012;55;2;5;80;460;0.03;0.03;0.280;120;0.03;20;-70;36;MnMo;;;;;;;;;;;;;;;;;;;;
0.045;1.40;0.31;0.008;0.013;55;2;5;80;410;0.03;0.03;0.250;120;0.03;20;-70;49;MnMo;;;;;;;;;;;;;;;;;;;;
0.048;1.86;0.34;0.008;0.014;55;2;5;80;390;0.03;0.03;0.290;120;0.03;20;-70;52;MnMo;;;;;;;;;;;;;;;;;;;;
0.038;0.63;0.30;0.009;0.012;55;2;5;80;490;0.03;0.03;0.500;120;0.03;20;-70;8;MnMo;;;;;;;;;;;;;;;;;;;;
0.039;0.95;0.28;0.008;0.013;55;2;5;80;460;0.03;0.03;0.510;120;0.03;20;-70;18;MnMo;;;;;;;;;;;;;;;;;;;;
0.045;1.43;0.33;0.008;0.014;55;2;5;80;410;0.03;0.03;0.500;120;0.03;20;-70;26;MnMo;;;;;;;;;;;;;;;;;;;;
0.050;1.81;0.33;0.008;0.014;55;2;5;80;390;0.03;0.03;0.500;120;0.03;20;-70;39;MnMo;;;;;;;;;;;;;;;;;;;;
0.042;0.64;0.30;0.010;0.010;55;2;5;80;490;0.03;0.03;1.110;120;0.03;20;-70;10;MnMo;;;;;;;;;;;;;;;;;;;;
0.044;1.01;0.33;0.008;0.012;55;2;5;80;460;0.03;0.03;1.110;120;0.03;20;-70;20;MnMo;;;;;;;;;;;;;;;;;;;;
0.049;1.37;0.34;0.008;0.013;55;2;5;80;410;0.03;0.03;1.120;120;0.03;20;-70;26;MnMo;;;;;;;;;;;;;;;;;;;;
0.048;1.76;0.33;0.008;0.015;55;2;5;80;390;0.03;0.03;1.150;120;0.03;20;-70;28;MnMo;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;3;0.03;3;-70;34;MnNb;;;;;;;;;;;;;;;;;;;;
0.073;0.63;0.34;0.005;0.004;41;2;5;80;431;0.03;0.03;0.005;3;0.03;120;-70;6;MnNb;;;;;;;;;;;;;;;;;;;;
0.075;0.61;0.33;0.005;0.004;42;2;5;85;429;0.03;0.03;0.005;3;0.03;220;-70;2;MnNb;;;;;;;;;;;;;;;;;;;;
0.069;0.64;0.33;0.006;0.003;42;2;5;85;413;0.03;0.03;0.005;3;0.03;450;-70;2;MnNb;;;;;;;;;;;;;;;;;;;;
0.075;0.65;0.33;0.009;0.005;39;2;5;110;460;0.03;0.03;0.005;3;0.03;870;-70;2;MnNb;;;;;;;;;;;;;;;;;;;;
0.076;1.74;0.29;0.008;0.006;35;2;5;92;415;0.03;0.03;0.005;4;0.03;5;-70;74;MnNb;;;;;;;;;;;;;;;;;;;;
0.074;1.74;0.30;0.006;0.006;31;2;5;89;418;0.03;0.03;0.005;4;0.03;120;-70;66;MnNb;;;;;;;;;;;;;;;;;;;;
0.076;1.72;0.28;0.006;0.007;32;2;5;110;433;0.03;0.03;0.005;4;0.03;220;-70;30;MnNb;;;;;;;;;;;;;;;;;;;;
0.077;1.75;0.28;0.008;0.010;31;2;5;97;432;0.03;0.03;0.005;4;0.03;440;-70;18;MnNb;;;;;;;;;;;;;;;;;;;;
0.078;1.75;0.28;0.006;0.007;33;2;5;105;406;0.03;0.03;0.005;4;0.03;880;-70;10;MnNb;;;;;;;;;;;;;;;;;;;;
0.035;0.66;0.30;0.006;0.013;55;2;5;80;490;0.03;0.03;0.005;120;0.03;20;-70;8;MnNi;;;;;;;;;;;;;;;;;;;;
0.038;1.00;0.30;0.005;0.014;55;2;5;80;460;0.03;0.03;0.005;120;0.03;20;-70;11;MnNi;;;;;;;;;;;;;;;;;;;;
0.049;1.42;0.34;0.005;0.013;55;2;5;80;410;0.03;0.03;0.005;120;0.03;20;-70;32;MnNi;;;;;;;;;;;;;;;;;;;;
0.051;1.82;0.34;0.006;0.017;55;2;5;80;390;0.03;0.03;0.005;120;0.03;20;-70;36;MnNi;;;;;;;;;;;;;;;;;;;;
0.039;0.67;0.31;0.006;0.011;55;2;5;80;490;0.03;0.49;0.005;120;0.03;20;-70;5;MnNi;;;;;;;;;;;;;;;;;;;;
0.039;1.00;0.30;0.006;0.010;55;2;5;80;460;0.03;0.50;0.005;120;0.03;20;-70;23;MnNi;;;;;;;;;;;;;;;;;;;;
0.055;1.44;0.31;0.006;0.014;55;2;5;80;410;0.03;0.47;0.005;120;0.03;20;-70;52;MnNi;;;;;;;;;;;;;;;;;;;;
0.046;1.85;0.30;0.006;0.017;55;2;5;80;390;0.03;0.49;0.005;120;0.03;20;-70;43;MnNi;;;;;;;;;;;;;;;;;;;;
0.038;0.65;0.31;0.007;0.010;55;2;5;80;490;0.03;1.12;0.005;120;0.03;20;-70;13;MnNi;;;;;;;;;;;;;;;;;;;;
0.042;1.00;0.33;0.007;0.012;55;2;5;80;460;0.03;1.10;0.005;120;0.03;20;-70;49;MnNi;;;;;;;;;;;;;;;;;;;;
0.050;1.43;0.34;0.008;0.011;55;2;5;80;410;0.03;1.06;0.005;120;0.03;20;-70;62;MnNi;;;;;;;;;;;;;;;;;;;;
0.053;1.86;0.35;0.007;0.012;55;2;5;80;390;0.03;1.04;0.005;120;0.03;20;-70;46;MnNi;;;;;;;;;;;;;;;;;;;;
0.039;0.65;0.30;0.006;0.012;55;2;5;80;490;0.03;2.32;0.005;120;0.03;20;-70;48;MnNi;;;;;;;;;;;;;;;;;;;;
0.041;0.99;0.32;0.006;0.015;55;2;5;80;460;0.03;2.32;0.005;120;0.03;20;-70;74;MnNi;;;;;;;;;;;;;;;;;;;;
0.047;1.46;0.33;0.007;0.016;55;2;5;80;410;0.03;2.33;0.005;120;0.03;20;-70;46;MnNi;;;;;;;;;;;;;;;;;;;;
0.040;1.88;0.33;0.007;0.018;55;2;5;80;390;0.03;2.30;0.005;120;0.03;20;-70;33;MnNi;;;;;;;;;;;;;;;;;;;;
0.038;0.67;0.29;0.010;0.012;55;2;5;80;390;0.03;3.49;0.005;120;0.03;20;-70;83;MnNi;;;;;;;;;;;;;;;;;;;;
0.042;1.00;0.30;0.008;0.012;55;2;5;80;390;0.03;3.49;0.005;120;0.03;20;-70;62;MnNi;;;;;;;;;;;;;;;;;;;;
0.052;1.44;0.30;0.007;0.013;55;2;5;80;390;0.03;3.46;0.005;120;0.03;20;-70;39;MnNi;;;;;;;;;;;;;;;;;;;;
0.053;1.85;0.36;0.007;0.013;55;2;5;80;390;0.03;3.41;0.005;120;0.03;20;-70;22;MnNi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.34;0.008;0.007;5;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-70;29;MnOx;;;;;;;;;;;;;;;;;;;;
0.058;0.59;0.20;0.007;0.007;37;2;5;55;501;0.03;0.03;0.005;5;0.03;5;-70;4;MnSi;;;;;;;;;;;;;;;;;;;;
0.064;1.00;0.20;0.007;0.006;51;2;5;65;457;0.03;0.03;0.005;5;0.03;5;-70;35;MnSi;;;;;;;;;;;;;;;;;;;;
0.066;1.37;0.20;0.007;0.006;50;2;5;55;436;0.03;0.03;0.005;5;0.03;5;-70;64;MnSi;;;;;;;;;;;;;;;;;;;;
0.064;1.79;0.20;0.007;0.005;70;2;5;70;443;0.03;0.03;0.005;5;0.03;5;-70;74;MnSi;;;;;;;;;;;;;;;;;;;;
0.076;0.66;0.42;0.007;0.007;60;2;5;55;452;0.03;0.03;0.005;5;0.03;5;-70;3;MnSi;;;;;;;;;;;;;;;;;;;;
0.065;1.02;0.38;0.007;0.007;67;2;5;65;419;0.03;0.03;0.005;5;0.03;5;-70;13;MnSi;;;;;;;;;;;;;;;;;;;;
0.066;1.42;0.37;0.007;0.008;75;2;5;55;415;0.03;0.03;0.005;5;0.03;5;-70;64;MnSi;;;;;;;;;;;;;;;;;;;;
0.066;1.82;0.37;0.007;0.008;83;2;5;70;406;0.03;0.03;0.005;5;0.03;5;-70;74;MnSi;;;;;;;;;;;;;;;;;;;;
0.067;0.64;0.62;0.007;0.008;74;2;5;55;405;0.03;0.03;0.005;5;0.03;5;-70;6;MnSi;;;;;;;;;;;;;;;;;;;;
0.061;1.03;0.64;0.007;0.008;79;2;5;65;394;0.03;0.03;0.005;5;0.03;5;-70;12;MnSi;;;;;;;;;;;;;;;;;;;;
0.075;1.43;0.66;0.006;0.007;80;2;5;55;366;0.03;0.03;0.005;5;0.03;5;-70;42;MnSi;;;;;;;;;;;;;;;;;;;;
0.068;1.77;0.61;0.006;0.007;94;2;5;70;378;0.03;0.03;0.005;5;0.03;5;-70;74;MnSi;;;;;;;;;;;;;;;;;;;;
0.073;0.63;0.94;0.008;0.009;100;2;5;55;351;0.03;0.03;0.005;5;0.03;5;-70;14;MnSi;;;;;;;;;;;;;;;;;;;;
0.068;1.00;0.94;0.006;0.010;110;2;5;50;350;0.03;0.03;0.005;5;0.03;5;-70;5;MnSi;;;;;;;;;;;;;;;;;;;;
0.064;1.36;0.92;0.006;0.009;110;2;5;50;343;0.03;0.03;0.005;5;0.03;5;-70;14;MnSi;;;;;;;;;;;;;;;;;;;;
0.067;1.76;0.91;0.006;0.007;120;2;5;60;298;0.03;0.03;0.005;5;0.03;5;-70;46;MnSi;;;;;;;;;;;;;;;;;;;;
0.035;0.66;0.30;0.006;0.013;55;2;5;70;490;0.03;0.03;0.005;120;0.03;20;-70;8;Mn;;;;;;;;;;;;;;;;;;;;
0.038;1.00;0.30;0.005;0.014;55;2;5;100;460;0.03;0.03;0.005;120;0.03;20;-70;11;Mn;;;;;;;;;;;;;;;;;;;;
0.049;1.42;0.34;0.005;0.013;55;2;5;90;410;0.03;0.03;0.005;120;0.03;20;-70;32;Mn;;;;;;;;;;;;;;;;;;;;
0.051;1.82;0.34;0.006;0.017;55;2;5;90;390;0.03;0.03;0.005;120;0.03;20;-70;36;Mn;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-70;29;MnTi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-70;27;MnTi;;;;;;;;;;;;;;;;;;;;
0.074;0.67;0.35;0.008;0.007;95;2;5;73;384;0.03;0.03;0.005;5;0.03;5;-70;11;MnTi;;;;;;;;;;;;;;;;;;;;
0.078;0.68;0.38;0.009;0.007;160;2;5;69;340;0.03;0.03;0.005;5;0.03;5;-70;12;MnTi;;;;;;;;;;;;;;;;;;;;
0.079;0.73;0.44;0.006;0.008;240;2;5;69;290;0.03;0.03;0.005;5;0.03;5;-70;9;MnTi;;;;;;;;;;;;;;;;;;;;
0.071;0.64;0.36;0.006;0.006;43;2;5;78;435;0.03;0.03;0.005;220;0.03;5;-70;20;MnV;;;;;;;;;;;;;;;;;;;;
0.071;0.64;0.44;0.008;0.005;36;2;5;88;411;0.03;0.03;0.005;450;0.03;5;-70;18;MnV;;;;;;;;;;;;;;;;;;;;
